20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|237108 YP_009873893.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Tenacibaculum phage PTm1]	 score  :276.0	 e_val  :3.86851e-23	 q_start  :17734	 q_end  :18618	 s_start  :105	 s_end  :399	 align_len  :311
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|511204 YP_009052276.1 |hypothetical protein JO84_gp273 [Aureococcus anophagefferens virus]	 score  :247.0	 e_val  :3.12179e-22	 q_start  :13618	 q_end  :14004	 s_start  :8	 s_end  :143	 align_len  :136
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|629665 YP_003969507.1 |hypothetical protein phiAS5_ORF0218 [Aeromonas phage phiAS5]	 score  :249.0	 e_val  :4.62639e-20	 q_start  :17749	 q_end  :18579	 s_start  :88	 s_end  :359	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|623616 YP_004300965.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Aeromonas phage 65]	 score  :235.0	 e_val  :2.63779e-18	 q_start  :17668	 q_end  :18579	 s_start  :54	 s_end  :364	 align_len  :330
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|131243 YP_010092832.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Aeromonas phage Ah1]	 score  :230.0	 e_val  :9.45831e-18	 q_start  :17749	 q_end  :18579	 s_start  :88	 s_end  :359	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|684288 NP_943971.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Aeromonas phage Aeh1]	 score  :228.0	 e_val  :1.90434e-17	 q_start  :17749	 q_end  :18579	 s_start  :88	 s_end  :359	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|27970 YP_010796965.1 |FtsK [Mayetiola barley midge adintovirus]	 score  :216.0	 e_val  :4.15275e-17	 q_start  :15734	 q_end  :16303	 s_start  :38	 s_end  :230	 align_len  :206
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|474236 YP_009177794.1 |MAG: hypothetical protein ASQ69_gp11 [Yellowstone Lake virophage 5]	 score  :227.0	 e_val  :1.41982e-16	 q_start  :16535	 q_end  :17047	 s_start  :539	 s_end  :715	 align_len  :185
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|277913 YP_009854085.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Vibrio phage vB_VchM_Kuja]	 score  :186.0	 e_val  :4.20479e-12	 q_start  :17791	 q_end  :18450	 s_start  :136	 s_end  :362	 align_len  :236
20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|277912 YP_009854084.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Vibrio phage vB_VchM_Kuja]	 score  :183.0	 e_val  :9.47122e-12	 q_start  :17791	 q_end  :18615	 s_start  :134	 s_end  :407	 align_len  :291
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278897 YP_009855069.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_mymlan6-1]	 score  :746.0	 e_val  :8.47212e-86	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
